iter	Logloss
0	0.5205636938
1	0.4851062152
2	0.4509932525
3	0.4221336791
4	0.4071460588
5	0.3948231183
6	0.3836613422
7	0.3695517833
8	0.3559177242
9	0.3453144138
10	0.3375770722
11	0.3290863527
12	0.3202064143
13	0.3125723165
14	0.3021145553
15	0.2866024718
16	0.2751957976
17	0.2648850259
18	0.257415769
19	0.2520662982
20	0.2416511516
21	0.2349269017
22	0.2289845306
23	0.2229142387
24	0.2178994102
25	0.2075130134
26	0.2025632817
27	0.1967850306
28	0.1907123222
29	0.185579585
30	0.1785949023
31	0.1751510608
32	0.1703665197
33	0.1652606737
34	0.1616429455
35	0.1535315887
36	0.1482105521
37	0.1445966765
38	0.1421860515
39	0.1405389074
40	0.1372886898
41	0.1340656921
42	0.1323763461
43	0.1283469917
44	0.124445751
45	0.1198396495
46	0.1170386113
47	0.1146329035
48	0.1114064284
49	0.1081399607
50	0.1053542013
51	0.1048689293
52	0.1011457603
53	0.09658695374
54	0.09447034829
55	0.09237010669
56	0.09005291063
57	0.08815863863
58	0.08478520056
59	0.08302479345
60	0.08095704073
61	0.07906241906
62	0.07821126109
63	0.07649136492
64	0.07611265908
65	0.07479028411
66	0.07353610653
67	0.07139551339
68	0.07014306937
69	0.06915549604
70	0.06830460383
71	0.06652221543
72	0.06474434373
73	0.06362163297
74	0.06252016217
75	0.06102089334
76	0.05896580672
77	0.05782918268
78	0.05748759407
79	0.05667445441
80	0.05546369288
81	0.05405275477
82	0.05335465803
83	0.05235253192
84	0.05165093918
85	0.0511427423
86	0.04980072334
87	0.04896129779
88	0.04814337329
89	0.04711930538
90	0.04629323478
91	0.04567451051
92	0.04430881847
93	0.04357842612
94	0.04283080601
95	0.0422193782
96	0.04189153239
97	0.04105928086
98	0.04065282845
99	0.03979198886
100	0.03934588708
101	0.03904119878
102	0.03864155434
103	0.03808445418
104	0.03772111008
105	0.03723188214
106	0.03678886892
107	0.03604221713
108	0.03560366213
109	0.03542080539
110	0.03499086868
111	0.03449271634
112	0.03402576834
113	0.03380023959
114	0.03323237315
115	0.03247680139
116	0.032127275
117	0.0316934194
118	0.03146720898
119	0.03104143171
120	0.03062677671
121	0.03044454456
122	0.03007971624
123	0.0299601899
124	0.02958429553
125	0.0292003213
126	0.02884901287
127	0.02841065206
128	0.02813001991
129	0.02776916007
130	0.0274584354
131	0.02709167422
132	0.02685949921
133	0.02626486229
134	0.02614356038
135	0.02596980248
136	0.02566729763
137	0.02534267854
138	0.02506822941
139	0.02482985877
140	0.02418864926
141	0.02374343347
142	0.02336934024
143	0.02323503273
144	0.02294330692
145	0.02244065591
146	0.02235921643
147	0.02211156241
148	0.02194490353
149	0.02152975603
150	0.02124760561
151	0.02105288827
152	0.02071657537
153	0.02055692992
154	0.02023589877
155	0.01980979121
156	0.01972700206
157	0.01971306768
158	0.0195663097
159	0.0193851535
160	0.01938352589
161	0.01909925542
162	0.01897928184
163	0.01873783953
164	0.01865772851
165	0.01862160275
166	0.01851609418
167	0.01836255828
168	0.01805815189
169	0.01791466284
170	0.01770322809
171	0.01748982515
172	0.01734900375
173	0.01721431057
174	0.01712503284
175	0.01687661368
176	0.01670410232
177	0.01654557777
178	0.01637809197
179	0.01635618678
180	0.01623944632
181	0.01623841877
182	0.01623805258
183	0.01598285963
184	0.01579560427
185	0.01568114425
186	0.01555530854
187	0.01532620667
188	0.01516840958
189	0.01511476974
190	0.01502740226
191	0.01483574223
192	0.01467266979
193	0.01452516976
194	0.01442830221
195	0.01442808114
196	0.01437177577
197	0.01426962854
198	0.01426952622
199	0.01426944949
200	0.01426046764
201	0.01413299753
202	0.01399559137
203	0.01372803178
204	0.01362146707
205	0.01352042296
206	0.01334971049
207	0.01321191051
208	0.01315625336
209	0.01304207293
210	0.01295959663
211	0.01290920974
212	0.01281155838
213	0.0128097849
214	0.01270184157
215	0.01270184157
216	0.01270109741
217	0.01258579843
218	0.01246965243
219	0.01230354088
220	0.01221248532
221	0.0122124065
222	0.01210839172
223	0.01202887883
224	0.01190502139
225	0.01176193316
226	0.01163428972
227	0.01149319298
228	0.01140201874
229	0.01140187773
230	0.01135369834
231	0.01135353495
232	0.01135352747
233	0.01135283605
234	0.01135282009
235	0.01121889278
236	0.01113504128
237	0.01113475297
238	0.01113472269
239	0.01113460547
240	0.01104663889
241	0.01103301079
242	0.01095275886
243	0.01089482853
244	0.01080248654
245	0.01074079949
246	0.01054463435
247	0.01052273806
248	0.01052273806
249	0.01052246087
